case_id,symptom,expected_fault,ai_root_cause,osi_layer,concept,severity,recommendation,match,diagnosis_source
CASE001,PC0 cannot reach the default gateway,Router1 GigabitEthernet0/0 is administratively down,Router1 GigabitEthernet0/0 is administratively down,Layer 1,Interface/Gateway,High,Check the router interface status and enable GigabitEthernet0/0 if it is administratively down.,True,rule_based
CASE002,PC0 cannot communicate with PC1,Incorrect or failed switch port configuration,Incorrect or failed switch port configuration,Layer 2,Switching,Medium,Check the switch ports connected to PC0 and PC1 and verify their configuration.,True,rule_based
CASE003,PC0 has an incorrect default gateway,Incorrect default gateway configured on PC0,Incorrect default gateway configured on PC0,Layer 3,Gateway,High,Verify the PC default gateway and make sure it matches the router interface address.,True,rule_based
CASE004,PC1 cannot reach router,PC1 has an incorrect IP subnet configuration,PC1 has an incorrect IP subnet configuration,Layer 3,IP Addressing,High,Check the IP address and subnet mask configured on PC1.,True,rule_based
CASE005,PC0 receives destination unreachable,PC0 is configured in the wrong subnet,PC0 is configured in the wrong subnet,Layer 3,Subnetting,High,"Check connectivity between PC0, the switch and Router1.",True,rule_based
CASE006,VLAN 10 PC cannot communicate with VLAN 20 PC,Inter-VLAN routing configuration missing,Inter-VLAN routing configuration missing,Layer 3,Inter-VLAN Routing,High,Check VLAN configuration and verify that inter-VLAN routing is configured.,True,rule_based
CASE007,PC in VLAN 10 cannot access another VLAN,VLAN 20 router subinterface is down,VLAN 20 router subinterface is down,Layer 3,Router-on-a-Stick,High,Verify VLAN membership and switch port configuration.,True,rule_based
CASE008,VLAN 20 device has no connectivity,Access port assigned to wrong VLAN,Access port assigned to wrong VLAN,Layer 2,VLAN Assignment,High,Check whether the VLAN exists and whether the required ports belong to it.,True,rule_based
CASE009,Trunk link is not carrying VLAN traffic,Switch-to-switch/router link configured as access port,Switch-to-switch/router link configured as access port,Layer 2,Trunking,High,Check the trunk configuration and verify that the required VLANs are allowed.,True,rule_based
CASE010,Inter-VLAN ping fails despite correct IP addresses,Required VLAN not allowed on trunk,Required VLAN not allowed on trunk,Layer 2,Allowed VLANs,High,"Verify router subinterfaces, VLAN IDs and trunk configuration.",True,rule_based
