case_id,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
CASE001,"PC0 cannot reach the default gateway","Basic LAN: PC0 -> Switch0 -> Router1","GigabitEthernet0/0 192.168.10.1 YES manual administratively down down","Router1 GigabitEthernet0/0 is administratively down","Layer 1","Interface/Gateway","High"
CASE002,"PC0 cannot communicate with PC1","Basic LAN: PC0 and PC1 connected to Switch0","FastEthernet0/1 connected up up; FastEthernet0/2 connected up up","Incorrect or failed switch port configuration","Layer 2","Switching","Medium"
CASE003,"PC0 has an incorrect default gateway","Basic LAN using 192.168.10.0/24","IPv4 Address 192.168.10.10; Mask 255.255.255.0; Gateway 192.168.20.1","Incorrect default gateway configured on PC0","Layer 3","Gateway","High"
CASE004,"PC1 cannot reach router","Basic LAN: PC1 -> Switch0 -> Router1","GigabitEthernet0/0 192.168.10.1 YES manual up up","PC1 has an incorrect IP subnet configuration","Layer 3","IP Addressing","High"
CASE005,"PC0 receives destination unreachable","Basic LAN: PC0 -> Switch0 -> Router1","GigabitEthernet0/0 192.168.10.1 YES manual up up; PC0 192.168.20.10/24","PC0 is configured in the wrong subnet","Layer 3","Subnetting","High"
CASE006,"VLAN 10 PC cannot communicate with VLAN 20 PC","VLAN topology with inter-VLAN routing","show vlan brief: VLAN0010 active; VLAN0020 active","Inter-VLAN routing configuration missing","Layer 3","Inter-VLAN Routing","High"
CASE007,"PC in VLAN 10 cannot access another VLAN","VLAN/inter-VLAN topology","GigabitEthernet0/0.10 192.168.10.1 up up; GigabitEthernet0/0.20 192.168.20.1 down down","VLAN 20 router subinterface is down","Layer 3","Router-on-a-Stick","High"
CASE008,"VLAN 20 device has no connectivity","VLAN topology","show vlan brief: VLAN0020 active; interface Fa0/5 assigned VLAN 10","Access port assigned to wrong VLAN","Layer 2","VLAN Assignment","High"
CASE009,"Trunk link is not carrying VLAN traffic","VLAN/inter-VLAN topology","show interfaces trunk: Port Fa0/24 not listed as trunking","Switch-to-switch/router link configured as access port","Layer 2","Trunking","High"
CASE010,"Inter-VLAN ping fails despite correct IP addresses","Inter-VLAN routing topology","show interfaces trunk: allowed VLANs 10; VLAN 20 missing","Required VLAN not allowed on trunk","Layer 2","Allowed VLANs","High"
CASE011,"PC does not receive an IP address","DHCP/DNS topology","ipconfig: IPv4 Address 0.0.0.0; DHCP Enabled YES","DHCP service or pool is unavailable","Layer 7","DHCP","High"
CASE012,"PC receives an address from the wrong network","DHCP topology","DHCP pool VLAN10_POOL; Network 192.168.20.0 255.255.255.0","DHCP pool has incorrect network configuration","Layer 7","DHCP Pool","High"
CASE013,"PC receives an incorrect default gateway","DHCP topology","DHCP pool: Default-router 192.168.20.1; expected 192.168.10.1","Incorrect default-router option in DHCP pool","Layer 7","DHCP Gateway","High"
CASE014,"DHCP clients cannot obtain addresses","DHCP topology","show ip dhcp pool: Utilization 0%; DHCP bindings: none","DHCP pool is missing or incorrectly configured","Layer 7","DHCP","High"
CASE015,"IP connectivity works but domain name does not resolve","DHCP/DNS topology","PC DNS Server: 0.0.0.0; ping 192.168.10.3 successful","Incorrect DNS server configured on client","Layer 7","DNS","Medium"
CASE016,"Client cannot resolve server name","DHCP/DNS topology","nslookup: Server request failed; DNS server 192.168.20.3","Client points to incorrect DNS server","Layer 7","DNS Resolution","High"
CASE017,"DNS server is unreachable","DHCP/DNS topology","ping 192.168.10.3: Destination host unreachable","DNS server is in an unreachable subnet","Layer 3","DNS Connectivity","High"
CASE018,"DHCP client receives IP but cannot resolve hostnames","DHCP/DNS topology","ipconfig /all: IPv4 192.168.10.20; DNS Server 192.168.10.99","Incorrect DNS server address supplied by DHCP","Layer 7","DHCP/DNS","Medium"
CASE019,"Remote network cannot be reached","Routing topology","show ip route: 192.168.20.0/24 not present","Missing route to remote network","Layer 3","Static Routing","High"
CASE020,"Router has route but traffic still fails","Inter-VLAN routing topology","show ip route: S 192.168.20.0/24 via 192.168.30.2","Incorrect next-hop address in static route","Layer 3","Routing","High"
CASE021,"Two routers cannot communicate","Routing topology","GigabitEthernet0/1 192.168.30.1 administratively down down","Router interface toward remote network is shutdown","Layer 1","Routing Interface","High"
CASE022,"Remote network is unreachable after topology change","Routing topology","show ip route: 192.168.40.0/24 missing","Required static route was removed","Layer 3","Routing Table","High"
CASE023,"Traffic is blocked even though routing is correct","ACL-enabled routing scenario","show access-lists: 10 deny ip 192.168.10.0 0.0.0.255 any","ACL denies traffic from source network","Layer 3","ACL","High"
CASE024,"PC cannot access server but other traffic works","ACL scenario","Extended IP access list 110: deny tcp 192.168.10.0 0.0.0.255 host 192.168.20.10 eq 80","ACL blocks HTTP traffic","Layer 4","ACL/HTTP","Medium"
CASE025,"All traffic from a subnet is blocked","ACL scenario","access-list 100 deny ip 192.168.10.0 0.0.0.255 any","ACL contains an incorrect deny statement","Layer 3","ACL","High"
CASE026,"ACL appears correct but traffic is still blocked","ACL scenario","show run: ip access-group 100 in on GigabitEthernet0/0","ACL applied in the wrong direction/interface","Layer 3","ACL Direction","High"
CASE027,"Internal PC cannot access external network","NAT scenario","show ip nat translations: no translations","NAT configuration is missing or inactive","Layer 3","NAT","High"
CASE028,"Private IP is not translated to public IP","NAT scenario","show ip nat statistics: Inside local 192.168.10.10; translations 0","NAT inside/outside interface configuration is incorrect","Layer 3","NAT","High"
CASE029,"Only some internal hosts can access outside network","NAT scenario","show ip nat translations: 192.168.10.10 translated; 192.168.10.11 not translated","NAT access list does not include all internal hosts","Layer 3","NAT ACL","Medium"
CASE030,"Wireless client cannot obtain network connectivity","Wireless topology scenario","Wireless client IP: 0.0.0.0; DHCP Enabled YES; Association: Failed","Wireless client is not properly associated with the access point","Layer 2","Wireless","High"
